similarity,corruption,rank,topK,iter,lambda,weight_u_i,metric,NDCG@K,Recall@50,weight_i,weight_u,Recall@100
Cosine,0.4,50,100,200,0.0001,,,"[0.4686, 0.0133]",,0.5,0.5,"[0.4529, 0.0163]"
Cosine,0.4,50,100,200,0.0001,,,"[0.4665, 0.0135]",,0.6,0.4,"[0.4436, 0.0164]"
Cosine,0.4,50,100,200,0.0001,,,"[0.4615, 0.0137]",,0.7,0.3,"[0.4236, 0.0158]"
Cosine,0.4,50,100,200,0.0001,,,"[0.4592, 0.0139]",,0.8,0.2,"[0.404, 0.0154]"
Cosine,0.4,50,100,200,0.0001,,,"[0.4541, 0.0144]",,0.9,0.1,"[0.3825, 0.015]"
Cosine,0.4,50,100,200,0.0001,,,"[0.4439, 0.0145]",,1.0,0.0,"[0.3591, 0.0145]"
Cosine,0.5,50,50,200,0.0001,,,"[0.4816, 0.0147]","[0.3302, 0.0144]",0.0,1.0,
Cosine,0.5,50,50,200,0.0001,,,"[0.4791, 0.0148]","[0.3352, 0.0149]",0.1,0.9,
Cosine,0.5,50,50,200,0.0001,,,"[0.4744, 0.0148]","[0.3272, 0.0147]",0.2,0.8,
Cosine,0.5,50,50,200,0.0001,,,"[0.4636, 0.015]","[0.3198, 0.0146]",0.3,0.7,
Cosine,0.5,50,50,200,0.0001,,,"[0.4625, 0.0148]","[0.3164, 0.0146]",0.4,0.6,
Cosine,0.5,50,50,200,0.0001,,,"[0.4619, 0.015]","[0.3037, 0.0139]",0.5,0.5,
Cosine,0.5,50,50,200,0.0001,,,"[0.4576, 0.0151]","[0.2971, 0.0136]",0.6,0.4,
Cosine,0.5,50,50,200,0.0001,,,"[0.4545, 0.0152]","[0.2833, 0.0131]",0.7,0.3,
Cosine,0.5,50,50,200,0.0001,,,"[0.4552, 0.0152]","[0.2799, 0.013]",0.8,0.2,
Cosine,0.5,50,50,200,0.0001,,,"[0.4489, 0.0153]","[0.2671, 0.0128]",0.9,0.1,
Cosine,0.5,50,50,200,0.0001,,,"[0.4469, 0.0157]","[0.2577, 0.0127]",1.0,0.0,
Cosine,0.5,50,100,200,0.0001,,,"[0.4884, 0.013]",,0.0,1.0,"[0.4937, 0.0163]"
Cosine,0.5,50,100,200,0.0001,,,"[0.489, 0.0132]",,0.1,0.9,"[0.5007, 0.0172]"
Cosine,0.5,50,100,200,0.0001,,,"[0.4841, 0.0133]",,0.2,0.8,"[0.4964, 0.0171]"
Cosine,0.5,50,100,200,0.0001,,,"[0.4784, 0.0133]",,0.3,0.7,"[0.4808, 0.0167]"
Cosine,0.5,50,100,200,0.0001,,,"[0.4727, 0.0135]",,0.4,0.6,"[0.4639, 0.0166]"
Cosine,0.5,50,100,200,0.0001,,,"[0.4716, 0.0134]",,0.5,0.5,"[0.4578, 0.0166]"
Cosine,0.5,50,100,200,0.0001,,,"[0.4674, 0.0136]",,0.6,0.4,"[0.4378, 0.0162]"
Cosine,0.5,50,100,200,0.0001,,,"[0.4614, 0.0139]",,0.7,0.3,"[0.4215, 0.0159]"
Cosine,0.5,50,100,200,0.0001,,,"[0.4598, 0.0138]",,0.8,0.2,"[0.4086, 0.0156]"
Cosine,0.5,50,100,200,0.0001,,,"[0.4557, 0.0144]",,0.9,0.1,"[0.387, 0.0153]"
Cosine,0.5,50,100,200,0.0001,,,"[0.4497, 0.0148]",,1.0,0.0,"[0.3613, 0.0147]"
Cosine,0.2,50,50,200,0.001,,,"[0.4862, 0.0145]","[0.3353, 0.0147]",0.0,1.0,
Cosine,0.2,50,50,200,0.001,,,"[0.482, 0.0145]","[0.3392, 0.0148]",0.1,0.9,
Cosine,0.2,50,50,200,0.001,,,"[0.4719, 0.0143]","[0.3331, 0.0147]",0.2,0.8,
Cosine,0.2,50,50,200,0.001,,,"[0.4681, 0.0145]","[0.3296, 0.0149]",0.3,0.7,
Cosine,0.2,50,50,200,0.001,,,"[0.4648, 0.0145]","[0.3172, 0.0142]",0.4,0.6,
Cosine,0.2,50,50,200,0.001,,,"[0.4624, 0.0145]","[0.3102, 0.0142]",0.5,0.5,
Cosine,0.2,50,50,200,0.001,,,"[0.4572, 0.0147]","[0.2968, 0.0137]",0.6,0.4,
Cosine,0.2,50,50,200,0.001,,,"[0.4515, 0.0147]","[0.2887, 0.0137]",0.7,0.3,
Cosine,0.2,50,50,200,0.001,,,"[0.4525, 0.0151]","[0.2792, 0.0132]",0.8,0.2,
Cosine,0.2,50,50,200,0.001,,,"[0.4502, 0.0151]","[0.263, 0.0126]",0.9,0.1,
Cosine,0.2,50,50,200,0.001,,,"[0.4473, 0.0156]","[0.2443, 0.012]",1.0,0.0,
Cosine,0.2,50,100,200,0.001,,,"[0.4906, 0.0128]",,0.0,1.0,"[0.5, 0.0163]"
Cosine,0.2,50,100,200,0.001,,,"[0.4889, 0.0129]",,0.1,0.9,"[0.5062, 0.017]"
Cosine,0.2,50,100,200,0.001,,,"[0.4859, 0.0129]",,0.2,0.8,"[0.5022, 0.0172]"
Cosine,0.2,50,100,200,0.001,,,"[0.4809, 0.0129]",,0.3,0.7,"[0.493, 0.0169]"
Cosine,0.2,50,100,200,0.001,,,"[0.474, 0.013]",,0.4,0.6,"[0.4744, 0.0166]"
Cosine,0.2,50,100,200,0.001,,,"[0.474, 0.013]",,0.5,0.5,"[0.4658, 0.0163]"
Cosine,0.2,50,100,200,0.001,,,"[0.467, 0.0132]",,0.6,0.4,"[0.4412, 0.016]"
Cosine,0.2,50,100,200,0.001,,,"[0.462, 0.0134]",,0.7,0.3,"[0.4233, 0.0156]"
Cosine,0.2,50,100,200,0.001,,,"[0.4609, 0.0136]",,0.8,0.2,"[0.4052, 0.0151]"
Cosine,0.2,50,100,200,0.001,,,"[0.4529, 0.0138]",,0.9,0.1,"[0.3843, 0.0149]"
Cosine,0.2,50,100,200,0.001,,,"[0.4521, 0.0146]",,1.0,0.0,"[0.355, 0.0143]"
Cosine,0.3,50,50,200,0.001,,,"[0.4846, 0.0144]","[0.3343, 0.0146]",0.0,1.0,
Cosine,0.3,50,50,200,0.001,,,"[0.4783, 0.0147]","[0.3378, 0.0149]",0.1,0.9,
Cosine,0.3,50,50,200,0.001,,,"[0.4728, 0.0146]","[0.334, 0.015]",0.2,0.8,
Cosine,0.3,50,50,200,0.001,,,"[0.4674, 0.0144]","[0.3282, 0.0147]",0.3,0.7,
Cosine,0.3,50,50,200,0.001,,,"[0.4645, 0.0145]","[0.3205, 0.0146]",0.4,0.6,
Cosine,0.3,50,50,200,0.001,,,"[0.4579, 0.0146]","[0.3071, 0.0142]",0.5,0.5,
