similarity,corruption,rank,topK,iter,lambda,weight_u_i,metric,NDCG,Recall@5,tok,weight_i,weight_u,Recall@10,Recall@15,Recall@20,Recall@50
Cosine,0.5,50,,200,1e-05,,,"[0.1025, 0.0084]",,10.0,0.0,1.0,"[0.0971, 0.0087]",,,
Cosine,0.5,50,,200,1e-05,,,"[0.1037, 0.0084]",,10.0,0.1,0.9,"[0.0937, 0.0084]",,,
Cosine,0.5,50,,200,1e-05,,,"[0.1075, 0.0085]",,10.0,0.2,0.8,"[0.0954, 0.0081]",,,
Cosine,0.5,50,,200,1e-05,,,"[0.1088, 0.0085]",,10.0,0.3,0.7,"[0.0976, 0.0081]",,,
Cosine,0.5,50,,200,1e-05,,,"[0.109, 0.0084]",,10.0,0.4,0.6,"[0.0975, 0.0081]",,,
Cosine,0.5,50,,200,1e-05,,,"[0.1101, 0.0084]",,10.0,0.5,0.5,"[0.0966, 0.0081]",,,
Cosine,0.5,50,,200,1e-05,,,"[0.1114, 0.0085]",,10.0,0.6,0.4,"[0.0967, 0.008]",,,
Cosine,0.5,50,,200,1e-05,,,"[0.1099, 0.0082]",,10.0,0.7,0.3,"[0.0963, 0.0079]",,,
Cosine,0.5,50,,200,1e-05,,,"[0.1091, 0.0083]",,10.0,0.8,0.2,"[0.095, 0.0078]",,,
Cosine,0.5,50,,200,1e-05,,,"[0.107, 0.0082]",,10.0,0.9,0.1,"[0.0931, 0.0079]",,,
Cosine,0.5,50,,200,1e-05,,,"[0.1118, 0.0084]",,10.0,1.0,0.0,"[0.0955, 0.0077]",,,
Cosine,0.5,50,,200,1e-05,,,"[0.1226, 0.0091]",,15.0,0.0,1.0,,"[0.1333, 0.0107]",,
Cosine,0.5,50,,200,1e-05,,,"[0.1328, 0.0094]",,15.0,0.1,0.9,,"[0.1404, 0.0108]",,
Cosine,0.5,50,,200,1e-05,,,"[0.1311, 0.0092]",,15.0,0.2,0.8,,"[0.1355, 0.0102]",,
Cosine,0.5,50,,200,1e-05,,,"[0.1309, 0.0092]",,15.0,0.3,0.7,,"[0.1343, 0.0101]",,
Cosine,0.5,50,,200,1e-05,,,"[0.1337, 0.0091]",,15.0,0.4,0.6,,"[0.139, 0.0102]",,
Cosine,0.5,50,,200,1e-05,,,"[0.1332, 0.009]",,15.0,0.5,0.5,,"[0.1347, 0.0099]",,
Cosine,0.5,50,,200,1e-05,,,"[0.1348, 0.0093]",,15.0,0.6,0.4,,"[0.135, 0.0101]",,
Cosine,0.5,50,,200,1e-05,,,"[0.1341, 0.0091]",,15.0,0.7,0.3,,"[0.1344, 0.01]",,
Cosine,0.5,50,,200,1e-05,,,"[0.1371, 0.0092]",,15.0,0.8,0.2,,"[0.138, 0.01]",,
Cosine,0.5,50,,200,1e-05,,,"[0.1315, 0.0089]",,15.0,0.9,0.1,,"[0.1299, 0.0097]",,
Cosine,0.5,50,,200,1e-05,,,"[0.1296, 0.009]",,15.0,1.0,0.0,,"[0.128, 0.0097]",,
Cosine,0.5,50,,200,1e-05,,,"[0.1461, 0.0096]",,20.0,0.0,1.0,,,"[0.1733, 0.0121]",
Cosine,0.5,50,,200,1e-05,,,"[0.15, 0.0098]",,20.0,0.1,0.9,,,"[0.1731, 0.0122]",
Cosine,0.5,50,,200,1e-05,,,"[0.1514, 0.0099]",,20.0,0.2,0.8,,,"[0.1722, 0.0119]",
Cosine,0.5,50,,200,1e-05,,,"[0.1509, 0.0096]",,20.0,0.3,0.7,,,"[0.1697, 0.0115]",
Cosine,0.5,50,,200,1e-05,,,"[0.1559, 0.0099]",,20.0,0.4,0.6,,,"[0.1731, 0.0116]",
Cosine,0.5,50,,200,1e-05,,,"[0.1561, 0.0099]",,20.0,0.5,0.5,,,"[0.1739, 0.0117]",
Cosine,0.5,50,,200,1e-05,,,"[0.1559, 0.0097]",,20.0,0.6,0.4,,,"[0.1728, 0.0116]",
Cosine,0.5,50,,200,1e-05,,,"[0.1512, 0.0099]",,20.0,0.7,0.3,,,"[0.1632, 0.0113]",
Cosine,0.5,50,,200,1e-05,,,"[0.1515, 0.0096]",,20.0,0.8,0.2,,,"[0.1657, 0.0114]",
Cosine,0.5,50,,200,1e-05,,,"[0.1516, 0.0097]",,20.0,0.9,0.1,,,"[0.1626, 0.0111]",
Cosine,0.5,50,,200,1e-05,,,"[0.1501, 0.0097]",,20.0,1.0,0.0,,,"[0.1604, 0.0111]",
Cosine,0.5,50,,200,1e-05,,,"[0.2224, 0.0106]",,50.0,0.0,1.0,,,,"[0.3334, 0.0159]"
